"","Titulo","Ubicacion","Matricula ficticia","Carrera","ISBN","language_reference","Instituto"
"123","tech talk elementary","BCC",145658,"","0194574539","english",""
"124","tech talk elementary","BCC",145658,"","0194574539","english",""
"125","tech talk elementary","BCC",145658,"","0194574539","english",""
"126","tech talk elementary","BCC",143801,"NULL","9780194574549","english","NULL"
"127","tech talk elementary","BCC",145658,"","9780194574549","english",""
"128","tech talk elementary","BCC",145658,"","9780194574549","english",""
"129","tech talk elementary","BCC",145658,"","9780194574549","english",""
"130","tech talk elementary","BCC",143801,"NULL","0194574547","english","NULL"
"131","tech talk elementary","BCC",145658,"","0194574547","english",""
"132","tech talk elementary","BCC",145658,"","0194574547","english",""
"133","tech talk elementary","BCC",145658,"","0194574547","english",""
"134","tech talk elementary","BCC",143801,"NULL","9780194574556","english","NULL"
"135","tech talk elementary","BCC",145658,"","9780194574556","english",""
"136","tech talk elementary","BCC",145658,"","9780194574556","english",""
"137","tech talk elementary","BCC",145658,"","9780194574556","english",""
"138","tech talk elementary","BCC",143801,"NULL","0194574555","english","NULL"
"139","tech talk elementary","BCC",145658,"","0194574555","english",""
"140","tech talk elementary","BCC",145658,"","0194574555","english",""
"141","tech talk elementary","BCC",145658,"","0194574555","english",""
"142","tech talk elementary","BCC",143801,"NULL","9780194574563","english","NULL"
"143","tech talk elementary","BCC",145658,"","9780194574563","english",""
"144","tech talk elementary","BCC",145658,"","9780194574563","english",""
"145","tech talk elementary","BCC",145658,"","9780194574563","english",""
"146","tech talk intermediate","BCC",179803,"NULL","9780194575416","english","NULL"
"147","tech talk intermediate","BCC",179803,"NULL","0194575411","english","NULL"
"148","tech talk intermediate","BCC",179803,"NULL","9780194575430","english","NULL"
"149","tech talk intermediate","BCC",179803,"NULL","0194575438","english","NULL"
"150","tech talk intermediate","BCC",179803,"NULL","9780194575423","english","NULL"
"151","tech talk intermediate","BCC",179803,"NULL","019457542","english","NULL"
"152","tech talk intermediate","BCC",179803,"NULL","9780194575454","english","NULL"
"153","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392204","english"," ICSA"
"154","test it fix it","BCC",176290," Licenciatura en Educación","9780194392204","english"," ICSA"
"155","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194392201","english"," ICSA"
"156","test it fix it","BCC",176290," Licenciatura en Educación","0194392201","english"," ICSA"
"157","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392198","english"," ICSA"
"158","test it fix it","BCC",176290," Licenciatura en Educación","9780194392198","english"," ICSA"
"159","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194392198","english"," ICSA"
"160","test it fix it","BCC",176290," Licenciatura en Educación","0194392198","english"," ICSA"
"161","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194389976","english"," ICSA"
"162","test it fix it","BCC",176290," Licenciatura en Educación","9780194389976","english"," ICSA"
"163","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194389979","english"," ICSA"
"164","test it fix it","BCC",176290," Licenciatura en Educación","0194389979","english"," ICSA"
"165","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392228","english"," ICSA"
"166","test it fix it","BCC",176290," Licenciatura en Educación","9780194392228","english"," ICSA"
"167","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194392228","english"," ICSA"
"168","test it fix it","BCC",176290," Licenciatura en Educación","0194392228","english"," ICSA"
"169","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392211","english"," ICSA"
"170","test it fix it","BCC",176290," Licenciatura en Educación","9780194392211","english"," ICSA"
"171","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","019439221","english"," ICSA"
"172","test it fix it","BCC",176290," Licenciatura en Educación","019439221","english"," ICSA"
"173","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194389983","english"," ICSA"
"174","test it fix it","BCC",176290," Licenciatura en Educación","9780194389983","english"," ICSA"
"175","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194389987","english"," ICSA"
"176","test it fix it","BCC",176290," Licenciatura en Educación","0194389987","english"," ICSA"
"177","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392068","english"," ICSA"
"178","introduction to mathematical modeling","BCC",169908," Ingeniería de Software","048641180","english"," IIT"
"179","introduction to mathematical modeling","BCC",160340,"NULL","048641180","english","NULL"
"180","introduction to mathematical modeling","BCC",174208," Ingeniería en Mecatrónica","048641180","english"," IIT"
"181","lumb jones veterinary anesthesia and analgesia","BCC",181323," Médico Veterinario Zootecnista","0781754712","english"," ICB"
"182","lumb jones veterinary anesthesia and analgesia","BCC",181323," Médico Veterinario Zootecnista","9780781754712","english"," ICB"
"183","test it fix it","BCC",176290," Licenciatura en Educación","9780194392068","english"," ICSA"
"184","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194392066","english"," ICSA"
"185","test it fix it","BCC",176290," Licenciatura en Educación","0194392066","english"," ICSA"
"186","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392051","english"," ICSA"
"187","test it fix it","BCC",176290," Licenciatura en Educación","9780194392051","english"," ICSA"
"188","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194392058","english"," ICSA"
"189","test it fix it","BCC",176290," Licenciatura en Educación","0194392058","english"," ICSA"
"190","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392075","english"," ICSA"
"191","test it fix it","BCC",176290," Licenciatura en Educación","9780194392075","english"," ICSA"
"192","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194392074","english"," ICSA"
"193","test it fix it","BCC",176290," Licenciatura en Educación","0194392074","english"," ICSA"
"194","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","9780194392082","english"," ICSA"
"195","test it fix it","BCC",176290," Licenciatura en Educación","9780194392082","english"," ICSA"
"196","test it fix it","BCC",169313," Licenciatura en Administración de Empresas","0194392082","english"," ICSA"
"197","test it fix it","BCC",176290," Licenciatura en Educación","0194392082","english"," ICSA"
"198","history of the english language","BCC",915859,"NULL","9780194233972","english","NULL"
"199","history of the english language","BCC",915859,"NULL","0194233979","english","NULL"
"200","history of the english language","BCC",915859,"NULL","9780194236133","english","NULL"
"201","domine php y mysql","BCC",163988," Ingeniería en Sistemas Computacionales","9789701512692","english"," IIT"
"202","domine php y mysql","BCC",142322,"  Ingeniería en Sistemas Computacionales","9789701512692","english","  IIT"
"203","domine php y mysql","BCC",179836," Ingeniería de Software","9789701512692","english"," IIT"
"204","domine php y mysql","BCC",163990," Ingeniería en Sistemas Computacionales","9789701512692","english"," IIT"
"205","domine php y mysql","BCC",124647,"","9789701512692","english",""
"206","domine php y mysql","BCC",125046," Ingeniería en Sistemas Computacionales","9789701512692","english"," IIT"
"207","domine php y mysql","BCC",147770," Ingeniería de Software","9789701512692","english"," IIT"
"208","domine php y mysql","BCC",147785," Ingeniería de Software","9789701512692","english"," IIT"
"209","domine php y mysql","BCC",13290,"DIRECTOR DE LA DIVISION MULTIDISCIPLINARIA DE LA UACJ-NCG","9789701512692","english","DIRECTOR DE LA DIVISION MULTIDISCIPLINARIA DE LA UACJ-NCG"
"210","domine php y mysql","BCC",124246,"  Ingeniería de Software","9789701512692","english","  IIT"
"211","domine php y mysql","BCC",117456,"","9789701512692","english",""
"212","domine php y mysql","BCC",119823,"NULL","9789701512692","english","NULL"
"213","domine php y mysql","BCC",254785,"Ingeniería en Sistemas Computacionales","9789701512692","english","IIT"
"214","vida eterna","BCC",159481," Médico Veterinario Zootecnista","8481643750","english"," ICB"
"215","vida eterna","BCC",142280," Ingeniería en Sistemas Computacionales","8481643750","english"," IIT"
"216","vida eterna","BCC",254785,"Licenciatura en Derecho","8481643750","english","ICSA"
"217","vida eterna","BCC",185839," Licenciatura en Derecho","8481643750","english"," ICSA"
"218","vida eterna","BCC",254785,"Licenciatura en Psicología","8481643750","english","ICSA"
"219","vida eterna","BCC",159481," Médico Veterinario Zootecnista","9788481643756","english"," ICB"
"220","vida eterna","BCC",142280," Ingeniería en Sistemas Computacionales","9788481643756","english"," IIT"
"221","vida eterna","BCC",254785,"Licenciatura en Derecho","9788481643756","english","ICSA"
"222","vida eterna","BCC",185839," Licenciatura en Derecho","9788481643756","english"," ICSA"
"223","vida eterna","BCC",254785,"Licenciatura en Psicología","9788481643756","english","ICSA"
"224","history of the english language","BCC",915859,"NULL","0194236137","english","NULL"
"225","domine php y mysql","BCC",117102,"Licenciatura en Diseño Gráfico","9789701512692","english","IADA"
"226","domine php y mysql","BCC",254785,"NULL","9789701512692","english","NULL"
"227","domine php y mysql","BCC",254785,"NULL","9789701512692","english","NULL"
"228","domine php y mysql","BCC",147792," Ingeniería de Software","9789701512692","english"," IIT"
"229","domine php y mysql","BCC",163988," Ingeniería en Sistemas Computacionales","9701512693","english"," IIT"
"230","domine php y mysql","BCC",142322,"  Ingeniería en Sistemas Computacionales","9701512693","english","  IIT"
"231","domine php y mysql","BCC",179836," Ingeniería de Software","9701512693","english"," IIT"
"232","domine php y mysql","BCC",163990," Ingeniería en Sistemas Computacionales","9701512693","english"," IIT"
"233","domine php y mysql","BCC",124647,"","9701512693","english",""
"234","domine php y mysql","BCC",125046," Ingeniería en Sistemas Computacionales","9701512693","english"," IIT"
"235","domine php y mysql","BCC",147770," Ingeniería de Software","9701512693","english"," IIT"
"236","domine php y mysql","BCC",147785," Ingeniería de Software","9701512693","english"," IIT"
